@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute eye-model numeric
@attribute region-detector {0,1,2,3,4}

@data
395,'2018/02/16 21:29:57:598',11,614.012512,258.827972,?,?
396,'2018/02/16 21:29:58:100',11,625.889282,233.259995,?,?
397,'2018/02/16 21:29:58:601',11,48.407101,412.827209,?,?
398,'2018/02/16 21:29:59:101',11,12.5159,382.887329,?,?
399,'2018/02/16 21:29:59:634',11,176.970749,283.838287,?,?
400,'2018/02/16 21:30:00:135',11,1323.248657,632.203796,?,?
401,'2018/02/16 21:30:00:637',11,462.899414,605.116882,?,?
402,'2018/02/16 21:30:01:246',11,439.547943,616.289307,?,?
403,'2018/02/16 21:30:01:747',11,439.712189,624.886169,?,?
404,'2018/02/16 21:30:02:251',11,420.610016,668.093689,?,?
405,'2018/02/16 21:30:09:341',12,91.970428,508.633667,?,?
406,'2018/02/16 21:30:09:845',12,91.912521,496.301208,?,?
407,'2018/02/16 21:30:10:346',12,62.396057,581.837219,?,?
408,'2018/02/16 21:30:10:848',12,63.631626,623.353699,?,?
409,'2018/02/16 21:30:11:350',12,29.488222,854.134705,?,?
410,'2018/02/16 21:30:11:851',12,44.996124,866.363037,?,?
411,'2018/02/16 21:30:12:357',12,33.307285,857.729309,?,?
412,'2018/02/16 21:30:12:858',12,243.762604,864.405823,?,?
413,'2018/02/16 21:30:13:367',12,238.311447,873.360535,?,?
414,'2018/02/16 21:30:13:876',12,408.042328,765.041321,?,?
415,'2018/02/16 21:30:14:376',12,400.855957,756.758362,?,?
416,'2018/02/16 21:30:14:878',12,402.780426,707.046143,?,?
417,'2018/02/16 21:30:15:379',12,402.02063,695.267273,?,?
418,'2018/02/16 21:30:15:887',12,364.265656,651.071472,?,?
419,'2018/02/16 21:30:16:388',12,372.976654,659.258606,?,?
420,'2018/02/16 21:30:16:889',12,373.564758,633.327881,?,?
421,'2018/02/16 21:30:17:394',12,376.552277,578.863708,?,?
422,'2018/02/16 21:30:17:898',12,374.973267,500.626862,?,?
