@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
469,'2018/02/09 15:26:35:773',10,41,257,?,?
470,'2018/02/09 15:26:35:791',10,41,257,?,?
471,'2018/02/09 15:26:35:806',10,41,257,?,?
472,'2018/02/09 15:26:55:558',11,597,269,?,?
473,'2018/02/09 15:26:55:573',11,597,269,?,?
474,'2018/02/09 15:26:55:589',11,597,269,?,?
475,'2018/02/09 15:26:55:606',11,597,269,?,?
476,'2018/02/09 15:26:55:622',11,597,269,?,?
477,'2018/02/09 15:26:55:638',11,597,269,?,?
478,'2018/02/09 15:26:55:655',11,597,269,?,?
479,'2018/02/09 15:26:55:671',11,597,269,?,?
480,'2018/02/09 15:26:55:687',11,597,269,?,?
481,'2018/02/09 15:26:55:704',11,597,269,?,?
482,'2018/02/09 15:26:55:720',11,597,269,?,?
