@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute eye-model-x numeric
@attribute eye-model-y numeric
@attribute region-classifier {0,1,2,3,4}

@data
365,'2018/02/16 22:32:16:905',13,485.973572,1028.128418,?,0,?
366,'2018/02/16 22:32:17:406',13,1010.467102,1042.738281,?,0,?
367,'2018/02/16 22:32:17:908',13,1695.984009,1021.157349,?,0,?
368,'2018/02/16 22:32:18:410',13,1216.530396,1047.300659,?,0,?
369,'2018/02/16 22:32:18:911',13,835.40033,1060.546997,?,0,?
370,'2018/02/16 22:32:19:412',13,15.390982,1078.144531,?,0,?
371,'2018/02/16 22:32:19:922',13,480.702271,1082.131348,?,0,?
372,'2018/02/16 22:32:20:429',13,1086.645386,1082.244751,?,0,?
373,'2018/02/16 22:32:20:954',13,1498.502563,1080.032715,?,0,?
374,'2018/02/16 22:32:21:457',13,1912.240356,1072.171753,?,0,?
375,'2018/02/16 22:32:21:963',13,1017.928284,1072.066284,?,0,?
376,'2018/02/16 22:32:22:469',13,537.977234,1090.712036,?,0,?
377,'2018/02/16 22:32:22:969',13,168.399551,1069.492432,?,0,?
378,'2018/02/16 22:32:23:470',13,26.811609,1077.761108,?,0,?
379,'2018/02/16 22:32:23:971',13,336.291168,1092.001465,?,0,?
380,'2018/02/16 22:32:24:473',13,847.620972,1074.976807,?,0,?
381,'2018/02/16 22:32:24:974',13,1373.299805,1076.462646,?,0,?
382,'2018/02/16 22:32:25:476',13,1765.442139,1063.64502,?,0,?
383,'2018/02/16 22:32:25:977',13,1305.180298,1078.950195,?,0,?
384,'2018/02/16 22:32:26:479',13,660.37854,1071.549561,?,0,?
385,'2018/02/16 22:32:26:980',13,348.772217,1098.234253,?,0,?
386,'2018/02/16 22:32:27:483',13,56.531013,1090.092285,?,0,?
387,'2018/02/16 22:32:27:986',13,356.210297,1074.953125,?,0,?
388,'2018/02/16 22:32:28:488',13,1630.422241,1064.432495,?,0,?
389,'2018/02/16 22:32:28:988',13,1879.768433,1058.707031,?,0,?
390,'2018/02/16 22:32:29:488',13,1266.62207,1081.264771,?,0,?
391,'2018/02/16 22:32:29:999',13,1006.30304,1083.347656,?,0,?
392,'2018/02/16 22:32:30:501',13,659.536011,1070.489258,?,0,?
393,'2018/02/16 22:32:31:001',13,271.929932,1063.830811,?,0,?
394,'2018/02/16 22:32:31:509',13,73.146431,1086.715698,?,0,?
395,'2018/02/16 22:32:37:104',14,27.975601,76.516357,?,1,?
396,'2018/02/16 22:32:37:605',14,292.681671,44.850044,?,1,?
397,'2018/02/16 22:32:38:107',14,545.833069,60.035034,?,1,?
398,'2018/02/16 22:32:38:609',14,730.982178,76.208145,?,1,?
399,'2018/02/16 22:32:39:112',14,886.282166,46.188492,?,1,?
400,'2018/02/16 22:32:39:613',14,1474.776489,60.802464,?,1,?
401,'2018/02/16 22:32:40:114',14,1847.472168,20.359669,?,1,?
402,'2018/02/16 22:32:40:616',14,1539.402954,53.883972,?,1,?
403,'2018/02/16 22:32:41:124',14,1330.913574,58.23687,?,1,?
404,'2018/02/16 22:32:41:625',14,1008.07196,52.600643,?,1,?
405,'2018/02/16 22:32:42:139',14,363.813965,56.644424,?,1,?
406,'2018/02/16 22:32:42:643',14,-8.456218,42.391911,?,1,?
407,'2018/02/16 22:32:43:143',14,530.434326,55.030285,?,1,?
408,'2018/02/16 22:32:43:645',14,1150.708496,45.04784,?,1,?
409,'2018/02/16 22:32:44:145',14,1954.999512,-20.553581,?,1,?
410,'2018/02/16 22:32:44:646',14,1147.183105,62.984062,?,1,?
411,'2018/02/16 22:32:45:147',14,273.953033,19.592907,?,1,?
412,'2018/02/16 22:32:45:649',14,16.55937,45.071594,?,1,?
413,'2018/02/16 22:32:46:166',14,1193.629517,14.825633,?,1,?
414,'2018/02/16 22:32:46:667',14,1739.046265,-5.941576,?,1,?
415,'2018/02/16 22:32:47:168',14,1532.494507,23.110966,?,1,?
416,'2018/02/16 22:32:47:671',14,269.468475,28.51614,?,1,?
417,'2018/02/16 22:32:48:172',14,-7.873759,40.666374,?,1,?
418,'2018/02/16 22:32:48:675',14,1658.809326,33.740047,?,1,?
419,'2018/02/16 22:32:49:176',14,1949.30603,12.758158,?,1,?
420,'2018/02/16 22:32:49:677',14,186.058105,34.108139,?,1,?
421,'2018/02/16 22:32:50:177',14,118.776375,20.333,?,1,?
422,'2018/02/16 22:32:50:686',14,1686.436035,-5.970649,?,1,?
423,'2018/02/16 22:32:51:189',14,1910.882446,32.953396,?,1,?
424,'2018/02/16 22:32:51:692',14,66.540527,48.319782,?,1,?
425,'2018/02/16 22:32:52:193',14,1735.422852,34.525009,?,1,?
426,'2018/02/16 22:32:52:708',14,267.30365,20.369036,?,1,?
427,'2018/02/16 22:32:53:216',14,-70.771179,20.882967,?,1,?
428,'2018/02/16 22:32:53:717',14,1886.278198,14.24504,?,1,?
429,'2018/02/16 22:32:54:218',14,-8.148665,2.390849,?,1,?
430,'2018/02/16 22:32:54:721',14,1755.453003,-12.395643,?,1,?
431,'2018/02/16 22:32:55:238',14,426.511078,214.279419,?,1,?
432,'2018/02/16 22:33:24:058',15,-11.844273,511.093109,0,?,?
433,'2018/02/16 22:33:24:562',15,-13.271656,513.790039,0,?,?
434,'2018/02/16 22:33:25:063',15,-73.038445,229.485031,0,?,?
435,'2018/02/16 22:33:25:563',15,-87.506065,68.35128,0,?,?
436,'2018/02/16 22:33:26:064',15,-62.490292,25.13722,0,?,?
437,'2018/02/16 22:33:26:565',15,-16.062353,278.344604,0,?,?
438,'2018/02/16 22:33:27:066',15,-21.974819,750.644348,0,?,?
439,'2018/02/16 22:33:27:569',15,-8.537841,1053.519287,0,?,?
440,'2018/02/16 22:33:28:070',15,-18.855608,1056.374634,0,?,?
441,'2018/02/16 22:33:28:573',15,-25.694887,956.448669,0,?,?
442,'2018/02/16 22:33:29:074',15,-40.109505,763.443909,0,?,?
443,'2018/02/16 22:33:29:575',15,-52.414276,548.574097,0,?,?
444,'2018/02/16 22:33:30:077',15,-75.074196,455.306549,0,?,?
445,'2018/02/16 22:33:30:578',15,-55.511765,371.364929,0,?,?
446,'2018/02/16 22:33:31:079',15,-99.675789,339.594788,0,?,?
447,'2018/02/16 22:33:31:580',15,-38.318462,283.125549,0,?,?
448,'2018/02/16 22:33:32:085',15,-69.18821,268.41333,0,?,?
449,'2018/02/16 22:33:32:593',15,-103.498177,222.140518,0,?,?
450,'2018/02/16 22:33:33:095',15,-42.722904,52.253902,0,?,?
451,'2018/02/16 22:33:33:606',15,-19.755575,53.83305,0,?,?
452,'2018/02/16 22:33:34:107',15,10.24086,511.230652,0,?,?
453,'2018/02/16 22:33:34:611',15,6.843357,915.996826,0,?,?
454,'2018/02/16 22:33:35:112',15,-4.875097,1027.260986,0,?,?
455,'2018/02/16 22:33:35:613',15,-4.324094,974.29657,0,?,?
456,'2018/02/16 22:33:36:120',15,-1.941746,905.510742,0,?,?
457,'2018/02/16 22:33:36:620',15,-5.023735,572.020447,0,?,?
458,'2018/02/16 22:33:37:122',15,-48.528809,484.875702,0,?,?
459,'2018/02/16 22:33:37:622',15,-81.873192,211.408585,0,?,?
460,'2018/02/16 22:33:38:124',15,-88.661407,114.828728,0,?,?
461,'2018/02/16 22:33:38:625',15,-39.924461,83.593887,0,?,?
462,'2018/02/16 22:33:39:133',15,-56.386333,162.396362,0,?,?
463,'2018/02/16 22:33:39:634',15,-15.222486,379.522858,0,?,?
464,'2018/02/16 22:33:40:135',15,-32.240047,660.77832,0,?,?
465,'2018/02/16 22:33:40:636',15,-10.236311,1001.135864,0,?,?
466,'2018/02/16 22:33:41:138',15,7.693988,1029.988159,0,?,?
